stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bad Hersfeld,,162001,50.869766,9.716581,1
Bad Hersfeld,162001,663067,50.869766,9.716581,
Bad Hofgastein,,673592,47.195713,13.100939,1
Bad Hofgastein,673592,527336,47.195713,13.100939,
Bad Kleinen,617527,136686,53.766644,11.466456,
Bad Kleinen,617527,27931,53.766945,11.466213,
Bad Kleinen Bhf,,617527,53.76746,11.466429,1
Bad Nauheim,310071,590010,50.367695,8.749241,
Bad Nauheim Bahnhof,,310071,50.367798,8.748327,1
Bad Oeynhausen,332885,129466,52.205322,8.795944,
Bad Oeynhausen,332885,292453,52.205257,8.795962,
"Bad Oeynhausen, Bf/ZOB",,332885,52.2054,8.796519,1
Bad Schandau,4956,340140,50.919315,14.137713,
Bad Schandau,4956,484924,50.91921,14.137704,
Bad Schandau Nationalparkbahnhof,,4956,50.91927,14.138099,1
Bad Zwischenahn,,23461,53.182568,8.002996,1
Bad Zwischenahn,23461,554001,53.18242,8.003398,
Baden(CH),,254766,47.476425,8.307709,1
Baden(CH),254766,62933,47.476425,8.307709,
Baden-Baden,,613543,48.7902,8.191036,1
Baden-Baden,613543,167066,48.790478,8.190417,
Baden-Baden,613543,208565,48.7903,8.190803,
Baden-Baden,613543,571891,48.79032,8.190731,
"Bahnhof, Engen",655415,177671,47.85621,8.772516,
"Bahnhof, Friedberg (Hessen)",91706,487112,50.33204,8.760561,
Bamberg,,103098,49.90076,10.899484,1
Bamberg,103098,558237,49.900597,10.899735,
Bamberg,103098,592764,49.900547,10.899879,
Bamberg,103098,8624,49.900574,10.900122,
Basel Bad Bf,,443028,47.567287,7.607805,1
Basel Bad Bf,443028,432936,47.567287,7.607805,
Basel SBB,,229614,47.547405,7.589551,1
Basel SBB,229614,581993,47.547405,7.589551,
Bebra,,20379,50.969566,9.797788,1
Bebra,20379,492562,50.969566,9.797788,
Bensheim,353544,323421,49.681423,8.616721,
Bensheim,353544,7332,49.681328,8.616717,
Bensheim,353544,89783,49.68174,8.616901,
"Bensheim, Bahnhof",,353544,49.681805,8.616955,1
Bergen Bahnhof,,235793,54.420822,13.418737,1
Bergen auf Rügen,235793,327035,54.420414,13.417534,
Bergen auf Rügen,235793,443260,54.42034,13.417668,
Berlin Gesundbrunnen,409515,350247,52.548794,13.3904,
Berlin Gesundbrunnen,409515,376285,52.548485,13.390691,
Berlin Gesundbrunnen,409515,510914,52.548573,13.390519,
Berlin Gesundbrunnen,409515,58821,52.54869,13.390501,
Berlin Gesundbrunnen,409515,625274,52.548885,13.39039,
Berlin Gesundbrunnen,409515,63239,52.548386,13.390704,
Berlin Hbf,194006,117505,52.524967,13.369527,
Berlin Hbf,194006,141479,52.52519,13.369752,
Berlin Hbf,194006,182000,52.52496,13.368911,
Berlin Hbf,194006,207715,52.524998,13.369061,
Berlin Hbf,194006,242268,52.524788,13.369667,
Berlin Hbf,194006,254691,52.525143,13.369612,
Berlin Hbf,194006,355929,52.52488,13.369627,
Berlin Hbf,194006,426757,52.525223,13.369887,
Berlin Hbf,194006,472262,52.525097,13.369321,
Berlin Hbf,194006,5308,52.52506,13.369167,
Berlin Hbf,194006,656591,52.52511,13.369472,
Berlin Ostbahnhof,195151,23416,52.510254,13.435024,
Berlin Ostbahnhof,195151,384944,52.510414,13.435172,
Berlin Ostbahnhof,195151,515565,52.510475,13.43524,
Berlin Ostbahnhof,195151,561193,52.510242,13.434586,
Berlin Ostbahnhof,195151,591678,52.510178,13.434942,
Berlin Ostkreuz,326704,384313,52.502907,13.468553,
Berlin Ostkreuz,326704,592052,52.50304,13.468615,
Berlin Südkreuz,97797,130684,52.475887,13.365455,
Berlin Südkreuz,97797,20089,52.475685,13.365454,
Berlin Südkreuz,97797,431038,52.475433,13.365603,
Berlin Südkreuz,97797,44662,52.47565,13.365612,
Berlin Südkreuz,97797,469440,52.475925,13.365291,
Berlin Südkreuz,97797,538323,52.475407,13.365754,
Berlin Zoologischer Garten,340,178643,52.50768,13.332686,
Berlin Zoologischer Garten,340,273366,52.507717,13.332555,
Berlin Zoologischer Garten,340,53965,52.50762,13.332927,
Berlin Zoologischer Garten,340,570607,52.507652,13.332804,
Berlin-Charlottenburg,409720,281705,52.504173,13.301819,
Berlin-Lichtenberg,348438,269215,52.510277,13.497433,
Berlin-Lichtenberg,348438,580767,52.510002,13.49649,
